Frequency,Gen(rad),R,L,C
5000.051,6.269,1.485,2.983,0.044
5000.028,6.27,1.486,2.984,0.045
5049.961,6.271,1.486,2.983,0.046
5049.951,6.271,1.487,2.98,0.046
5099.902,6.27,1.485,2.984,0.046
5149.925,6.272,1.485,2.987,0.048
5149.97,6.271,1.484,2.983,0.047
5199.893,6.271,1.484,2.989,0.048
5249.988,6.271,1.483,2.991,0.048
5249.982,6.27,1.483,2.99,0.047
5299.902,6.273,1.484,2.994,0.05
5299.889,6.27,1.484,2.985,0.048
5350.006,6.272,1.482,2.989,0.05
5399.98,6.271,1.482,2.99,0.049
5399.981,6.27,1.48,2.991,0.048
5449.845,6.27,1.478,2.989,0.049
5449.842,6.271,1.48,2.991,0.049
5499.944,6.272,1.481,2.994,0.051
5549.884,6.271,1.48,2.993,0.051
5549.821,6.271,1.479,2.992,0.05
5599.997,6.272,1.481,2.994,0.052
5599.985,6.271,1.479,2.993,0.051
5649.907,6.27,1.477,2.993,0.051
5699.962,6.271,1.477,2.996,0.052
5700.026,6.272,1.477,2.993,0.053
5749.957,6.27,1.476,2.994,0.051
5749.946,6.27,1.476,2.991,0.051
5800.058,6.27,1.474,2.992,0.051
5849.945,6.271,1.476,2.993,0.053
5849.943,6.27,1.474,2.993,0.052
5899.888,6.271,1.474,2.995,0.053
5899.907,6.271,1.473,2.993,0.053
5949.994,6.273,1.475,2.996,0.055
5999.892,6.273,1.473,2.998,0.055
5999.894,6.271,1.473,2.992,0.053
6049.975,6.271,1.472,2.998,0.054
6099.927,6.271,1.472,2.997,0.055
6099.926,6.27,1.47,2.997,0.053
6149.987,6.272,1.471,2.999,0.056
6149.983,6.271,1.47,2.999,0.054
6199.956,6.27,1.469,2.997,0.054
6249.841,6.273,1.471,2.999,0.057
6249.854,6.272,1.47,2.999,0.056
6299.988,6.272,1.47,2.998,0.056
6299.957,6.27,1.467,2.999,0.055
6349.892,6.272,1.467,2.999,0.056
6399.969,6.271,1.466,3,0.056
6400,6.272,1.467,3.002,0.057
6449.905,6.274,1.469,3.004,0.06
6449.89,6.271,1.466,2.998,0.057
6500.041,6.272,1.465,3.001,0.057
6549.944,6.274,1.466,3.001,0.059
6549.962,6.274,1.468,3.003,0.06
6599.849,6.273,1.466,3.002,0.059
6599.853,6.272,1.464,3,0.058
6649.913,6.272,1.464,3.001,0.058
6699.841,6.273,1.462,3.001,0.059
6699.904,6.273,1.463,3.002,0.06
6750.013,6.272,1.463,3,0.059
6799.891,6.272,1.461,3.001,0.059
6799.896,6.274,1.463,3.004,0.061
6850.035,6.273,1.462,3.003,0.06
6849.957,6.272,1.459,3.001,0.058
6899.928,6.271,1.458,3.001,0.059
6949.985,6.272,1.458,3.002,0.059
6950.033,6.273,1.46,3.004,0.061
6999.947,6.272,1.457,3.001,0.06
6999.899,6.274,1.458,3.004,0.062
7049.864,6.273,1.456,3.002,0.061
7099.938,6.273,1.456,3.002,0.061
7099.982,6.272,1.456,3.003,0.06
7149.856,6.272,1.454,3.003,0.06
7149.944,6.273,1.455,3.002,0.061
7199.959,6.273,1.454,3.001,0.061
7249.932,6.274,1.454,3.004,0.063
7249.92,6.272,1.453,3.003,0.061
7299.976,6.273,1.452,3.001,0.061
7300.045,6.272,1.452,3.001,0.061
7349.919,6.275,1.452,3.004,0.063
7399.809,6.274,1.452,3.004,0.063
7399.863,6.274,1.452,3.005,0.063
7449.975,6.273,1.45,3.002,0.062
7486.731,6.163,1.338,2.888,6.234
7499.861,6.273,1.448,3.002,0.062
7550.014,6.275,1.45,3.004,0.064
7549.993,6.274,1.449,3.003,0.063
7599.937,6.273,1.446,3.001,0.062
7649.989,6.275,1.447,3.003,0.064
7649.956,6.273,1.446,3.001,0.063
7699.934,6.276,1.447,3.005,0.065
7699.933,6.273,1.444,3.001,0.063
7749.883,6.274,1.445,3.002,0.064
7799.933,6.274,1.444,3.002,0.064
7799.972,6.273,1.443,3,0.062
7849.867,6.273,1.442,3.002,0.063
7849.838,6.273,1.442,3.001,0.063
7899.946,6.274,1.441,3.001,0.064
7949.809,6.275,1.441,3.003,0.065
7949.867,6.273,1.44,3.001,0.063
7999.994,6.274,1.44,3.001,0.064
7999.953,6.275,1.44,3.002,0.065
8049.898,6.274,1.439,3.001,0.064
8099.94,6.274,1.438,3,0.064
8100.002,6.273,1.436,3,0.063
8149.978,6.274,1.436,2.999,0.063
8199.831,6.274,1.435,3,0.064
8199.81,6.274,1.435,3,0.063
8249.948,6.274,1.435,2.999,0.064
8249.971,6.275,1.435,2.999,0.065
8299.849,6.274,1.432,2.999,0.064
8349.947,6.273,1.431,2.998,0.063
8349.951,6.275,1.432,2.999,0.064
8399.899,6.273,1.429,2.996,0.062
8399.901,6.275,1.431,2.999,0.065
8450.032,6.275,1.429,2.999,0.064
8499.96,6.275,1.429,2.997,0.064
8499.935,6.274,1.428,2.996,0.063
8549.868,6.274,1.427,2.997,0.064
8549.779,6.274,1.426,2.996,0.063
8599.963,6.273,1.425,2.995,0.062
8649.856,6.274,1.424,2.995,0.063
8649.84,6.276,1.427,2.998,0.065
8699.902,6.276,1.424,2.996,0.064
8699.941,6.277,1.426,2.997,0.066
8749.886,6.275,1.422,2.995,0.063
8799.963,6.274,1.421,2.994,0.062
8800.01,6.273,1.419,2.993,0.061
8849.864,6.276,1.422,2.996,0.064
8900.013,6.274,1.418,2.993,0.062
8900.003,6.274,1.417,2.993,0.062
8949.903,6.277,1.419,2.994,0.064
8949.945,6.275,1.418,2.993,0.063
8999.841,6.276,1.417,2.994,0.064
9049.959,6.276,1.416,2.993,0.063
9049.924,6.274,1.414,2.991,0.061
9099.864,6.277,1.415,2.993,0.064
9099.866,6.275,1.413,2.991,0.062
9149.989,6.274,1.411,2.99,0.061
9199.886,6.276,1.411,2.99,0.062
9199.916,6.277,1.413,2.992,0.064
9249.988,6.274,1.408,2.989,0.06
9249.95,6.277,1.411,2.991,0.063
9300.015,6.277,1.41,2.991,0.063
9349.874,6.277,1.408,2.988,0.062
9349.812,6.275,1.406,2.988,0.06
9399.916,6.275,1.404,2.986,0.06
9399.935,6.274,1.404,2.986,0.059
9449.834,6.277,1.405,2.988,0.061
9499.956,6.274,1.401,2.984,0.058
9499.974,6.276,1.403,2.986,0.061
9549.868,6.275,1.4,2.984,0.059
9549.877,6.276,1.401,2.985,0.06
9599.974,6.277,1.4,2.985,0.06
9649.907,6.277,1.399,2.984,0.06
9649.916,6.275,1.397,2.983,0.058
9699.786,6.276,1.397,2.982,0.058
9699.787,6.276,1.396,2.982,0.058
9749.913,6.277,1.396,2.981,0.059
9799.877,6.275,1.393,2.979,0.056
9799.833,6.275,1.392,2.979,0.056
9849.945,6.277,1.393,2.98,0.058
9849.957,6.277,1.393,2.981,0.059
9899.886,6.276,1.39,2.979,0.057
9949.985,6.277,1.39,2.979,0.057
9949.998,6.277,1.39,2.978,0.058
9999.923,6.275,1.386,2.976,0.055
10050.009,6.279,1.388,2.978,0.058
10050.016,6.275,1.385,2.975,0.054
10099.942,6.277,1.385,2.975,0.055
10099.888,6.276,1.384,2.975,0.055
10149.826,6.277,1.383,2.974,0.055
10199.915,6.275,1.38,2.971,0.052
10199.92,6.276,1.38,2.972,0.053
10249.819,6.277,1.38,2.972,0.053
10249.821,6.278,1.38,2.972,0.054
10299.916,6.276,1.376,2.969,0.051
10349.871,6.279,1.378,2.972,0.054
10349.897,6.278,1.377,2.97,0.053
10399.947,6.275,1.372,2.965,0.049
10399.953,6.278,1.374,2.969,0.052
10449.907,6.276,1.371,2.966,0.05
10499.78,6.278,1.371,2.966,0.05
10499.842,6.277,1.37,2.966,0.05
10549.938,6.276,1.367,2.964,0.048
10549.892,6.279,1.37,2.966,0.05
10599.818,6.277,1.366,2.963,0.048
10649.944,6.278,1.365,2.962,0.048
10649.913,6.277,1.364,2.962,0.047
10699.82,6.277,1.362,2.96,0.046
10749.923,6.277,1.36,2.959,0.046
10749.995,6.278,1.361,2.961,0.047
10799.907,6.277,1.358,2.958,0.045
10799.927,6.277,1.359,2.958,0.045
10849.81,6.277,1.356,2.955,0.043
10899.923,6.275,1.353,2.953,0.041
10899.906,6.278,1.355,2.955,0.044
10949.806,6.279,1.354,2.954,0.043
10949.812,6.28,1.355,2.956,0.045
10999.936,6.277,1.35,2.952,0.041
11049.882,6.275,1.346,2.948,0.038
11049.816,6.277,1.348,2.95,0.04
11099.995,6.277,1.345,2.948,0.038
11099.956,6.278,1.346,2.948,0.039
11149.853,6.28,1.346,2.949,0.041
11199.995,6.279,1.343,2.947,0.038
11199.99,6.278,1.341,2.945,0.037
11249.931,6.277,1.339,2.943,0.036
11249.825,6.28,1.341,2.946,0.037
11299.833,6.278,1.337,2.942,0.035
11349.903,6.278,1.334,2.941,0.033
11349.956,6.28,1.337,2.943,0.036
11399.842,6.279,1.334,2.94,0.034
11449.921,6.28,1.333,2.939,0.034
11449.959,6.277,1.329,2.936,0.03
11499.851,6.279,1.328,2.936,0.031
11499.832,6.279,1.329,2.935,0.031
11549.96,6.278,1.325,2.933,0.029
11599.889,6.279,1.324,2.932,0.028
11599.9,6.281,1.325,2.934,0.03
11649.805,6.279,1.321,2.93,0.026
11649.833,6.277,1.319,2.928,0.025
11699.908,6.278,1.318,2.927,0.024
11749.832,6.279,1.316,2.926,0.024
11749.807,6.28,1.317,2.927,0.025
11799.892,6.281,1.315,2.926,0.024
11799.925,6.278,1.312,2.923,0.021
11849.845,6.279,1.31,2.922,0.021
11899.983,6.28,1.309,2.921,0.02
11899.889,6.28,1.308,2.92,0.019
11949.905,6.281,1.307,2.919,0.019
11949.841,6.28,1.305,2.918,0.018
12000,6.277,1.301,2.915,0.015
12049.906,6.281,1.302,2.915,0.017
12049.896,6.28,1.3,2.913,0.015
12099.84,6.28,1.297,2.912,0.014
12138.339,6.166,1.182,2.795,6.182
12149.941,6.281,1.296,2.911,0.013
12199.828,6.279,1.291,2.906,0.009
12199.853,6.28,1.292,2.907,0.01
12249.852,6.28,1.288,2.905,0.008
12299.893,6.28,1.286,2.902,0.006
12299.884,6.282,1.288,2.904,0.009
12349.926,6.279,1.282,2.898,0.004
12349.964,6.279,1.282,2.899,0.003
12399.873,6.282,1.281,2.899,0.004
12449.768,6.279,1.276,2.894,6.283
12449.787,6.28,1.276,2.894,0
12499.87,6.281,1.274,2.893,6.283
12499.871,6.279,1.272,2.89,6.28
12549.851,6.281,1.271,2.889,6.28
12599.933,6.279,1.266,2.886,6.276
12599.906,6.281,1.267,2.887,6.278
12649.761,6.28,1.263,2.883,6.275
12649.842,6.279,1.262,2.882,6.274
12699.942,6.282,1.261,2.882,6.274
12749.853,6.283,1.259,2.881,6.273
12749.827,6.282,1.258,2.879,6.272
12799.761,6.282,1.255,2.877,6.27
12849.918,6.282,1.251,2.874,6.268
12849.94,6.282,1.251,2.873,6.268
12899.8,6.282,1.247,2.87,6.265
12899.822,6.282,1.247,2.87,6.265
12949.904,6.279,1.241,2.864,6.259
12999.845,6.281,1.239,2.863,6.258
12999.854,6.279,1.237,2.861,6.257
13049.963,6.282,1.236,2.86,6.257
13049.976,6.28,1.235,2.859,6.256
13099.831,6.282,1.232,2.857,6.254
13149.936,6.281,1.228,2.853,6.251
13149.94,6.282,1.228,2.854,6.252
13199.837,6.279,1.222,2.848,6.246
13199.808,6.279,1.221,2.848,6.246
13249.793,6.283,1.221,2.848,6.247
13299.865,6.281,1.215,2.842,6.242
13299.921,6.281,1.216,2.843,6.243
13349.829,6.283,1.213,2.841,6.241
13349.79,6.282,1.212,2.839,6.24
13399.909,6.28,1.205,2.833,6.234
13449.83,6.281,1.202,2.831,6.233
13449.841,6.281,1.202,2.831,6.233
13499.961,0.001,1.201,2.83,6.233
13499.941,6.281,1.198,2.827,6.23
13549.832,6.282,1.195,2.825,6.227
13599.775,6.282,1.19,2.82,6.224
13599.799,6.28,1.188,2.818,6.222
13649.878,6.28,1.184,2.814,6.219
13649.875,6.283,1.186,2.817,6.221
13699.78,6.282,1.18,2.811,6.216
13749.871,6.282,1.175,2.807,6.213
13749.865,0.001,1.178,2.81,6.215
13799.865,0,1.173,2.805,6.212
13799.852,6.283,1.172,2.805,6.211
13849.959,6.283,1.167,2.8,6.207
13899.839,0,1.162,2.796,6.204
13899.82,6.281,1.16,2.793,6.201
13949.698,6.281,1.156,2.789,6.198
13949.812,6.283,1.157,2.791,6.2
13999.857,0.001,1.153,2.788,6.197
14049.746,6.283,1.146,2.781,6.19
14049.715,0,1.147,2.781,6.191
14099.893,6.282,1.14,2.776,6.186
14099.897,0.001,1.143,2.778,6.188
14149.815,6.281,1.133,2.769,6.18
14199.923,6.282,1.13,2.766,6.178
14199.936,6.282,1.129,2.765,6.177
14249.789,6.283,1.125,2.762,6.174
14299.899,6.282,1.118,2.756,6.169
14299.891,6.282,1.118,2.755,6.169
14349.868,0.002,1.115,2.753,6.167
14349.888,6.282,1.112,2.75,6.164
14399.765,6.282,1.106,2.745,6.159
14449.859,6.282,1.101,2.739,6.155
14449.868,6.281,1.099,2.738,6.153
14499.798,0.002,1.098,2.737,6.153
14499.828,0.001,1.096,2.735,6.151
14549.901,0.001,1.09,2.73,6.147
14599.826,6.282,1.082,2.723,6.14
14599.768,0.001,1.084,2.724,6.142
14649.954,0.003,1.079,2.72,6.138
14649.922,0.002,1.078,2.719,6.137
14699.855,0,1.07,2.711,6.13
14749.741,0.003,1.066,2.708,6.127
14749.718,0.001,1.063,2.705,6.125
14799.883,0.002,1.058,2.7,6.12
14849.808,0.002,1.051,2.694,6.115
14849.739,6.283,1.048,2.691,6.112
14899.898,0.002,1.045,2.688,6.109
14899.882,0.001,1.043,2.687,6.108
14949.816,0.002,1.037,2.681,6.103
14999.903,0.002,1.03,2.674,6.097
14999.907,0.004,1.032,2.676,6.099
15049.845,0.003,1.023,2.668,6.091
15049.83,0.001,1.021,2.666,6.089
15099.944,6.282,1.012,2.657,6.082
15149.849,0.005,1.011,2.656,6.082
15149.854,0.002,1.007,2.653,6.078
15199.767,0.001,0.999,2.645,6.071
15199.764,0.004,1.001,2.647,6.073
15249.873,0,0.99,2.637,6.063
15299.81,0.004,0.986,2.633,6.06
15299.788,6.283,0.981,2.628,6.056
15349.926,0,0.973,2.62,6.049
15349.94,0.002,0.974,2.621,6.05
15399.838,0.001,0.965,2.613,6.042
15449.905,0.006,0.962,2.61,6.04
15449.915,0.005,0.96,2.608,6.038
15499.854,0.004,0.952,2.6,6.031
15549.741,0.002,0.941,2.59,6.022
15549.733,0.004,0.943,2.592,6.023
15599.873,0.006,0.936,2.586,6.018
15599.906,0.006,0.936,2.585,6.017
15649.764,0.001,0.921,2.571,6.004
15699.865,0.005,0.916,2.566,6
15699.874,0.003,0.914,2.564,5.998
15749.802,0.003,0.905,2.556,5.99
15749.8,0.004,0.906,2.557,5.991
15799.991,0.006,0.899,2.55,5.985
15849.883,0.006,0.889,2.541,5.977
15849.778,0.006,0.888,2.54,5.976
15899.754,0.003,0.876,2.529,5.965
15899.738,0.006,0.879,2.532,5.968
15949.846,0.004,0.866,2.519,5.956
15999.769,0.007,0.86,2.513,5.951
15999.754,0.006,0.859,2.512,5.95
16049.83,0.005,0.846,2.5,5.939
16049.855,0.005,0.846,2.5,5.939
16099.774,0.004,0.835,2.489,5.929
16149.874,0.006,0.827,2.481,5.922
16149.927,0.004,0.825,2.479,5.92
16199.842,0.005,0.815,2.47,5.911
16199.794,0.005,0.814,2.47,5.911
16249.911,0.003,0.801,2.457,5.899
16299.879,0.004,0.792,2.448,5.891
16299.844,0.004,0.792,2.448,5.89
16349.739,0.009,0.785,2.442,5.885
16399.87,0.008,0.773,2.43,5.874
16399.897,0.005,0.77,2.427,5.871
16449.794,0.006,0.758,2.416,5.861
16449.773,0.008,0.76,2.418,5.863
16499.914,0.008,0.749,2.407,5.852
16549.834,0.004,0.732,2.391,5.837
16549.809,0.004,0.732,2.391,5.837
16599.904,0.009,0.724,2.384,5.83
16599.864,0.005,0.721,2.38,5.827
16649.835,0.009,0.712,2.372,5.82
16699.765,0.006,0.698,2.358,5.807
16699.757,0.007,0.699,2.358,5.807
16749.88,0.005,0.683,2.343,5.793
16749.823,0.007,0.685,2.345,5.795
16799.741,0.01,0.676,2.336,5.786
16849.849,0.006,0.659,2.32,5.771
16849.862,0.01,0.663,2.324,5.775
16899.836,0.008,0.648,2.309,5.761
16899.824,0.006,0.646,2.308,5.76
16949.871,0.006,0.633,2.295,5.747
16999.818,0.006,0.62,2.282,5.735
16999.814,0.008,0.621,2.283,5.736
17049.724,0.006,0.606,2.269,5.722
17099.823,0.01,0.595,2.259,5.713
17099.857,0.009,0.595,2.258,5.713
17149.794,0.007,0.579,2.243,5.698
17149.783,0.005,0.577,2.241,5.696
17199.841,0.009,0.566,2.231,5.687
17249.793,0.009,0.552,2.217,5.674
17249.786,0.01,0.553,2.218,5.674
17299.853,0.008,0.536,2.202,5.66
17299.855,0.011,0.538,2.204,5.662
17349.843,0.007,0.524,2.19,5.648
17399.907,0.007,0.509,2.176,5.634
17399.947,0.009,0.511,2.177,5.636
17449.863,0.009,0.497,2.164,5.623
17449.892,0.005,0.492,2.159,5.619
17499.752,0.009,0.482,2.15,5.61
17549.844,0.009,0.467,2.135,5.596
17549.881,0.007,0.465,2.132,5.593
17599.789,0.007,0.45,2.118,5.58
17599.801,0.008,0.451,2.12,5.581
17649.83,0.008,0.436,2.104,5.567
17699.793,0.005,0.418,2.087,5.55
17699.802,0.008,0.42,2.089,5.553
17749.882,0.007,0.404,2.074,5.538
17799.781,0.003,0.386,2.056,5.52
17799.782,0.004,0.386,2.056,5.521
17849.69,0.006,0.372,2.043,5.508
17849.725,0.003,0.37,2.041,5.506
17899.805,0.006,0.357,2.028,5.495
17949.735,0.005,0.341,2.013,5.48
17949.731,0.003,0.339,2.01,5.478
17999.845,0.003,0.329,2.001,5.468
17999.797,0.006,0.331,2.003,5.471
18049.82,0.006,0.316,1.989,5.456
18099.884,0.004,0.298,1.971,5.44
18099.863,0.002,0.296,1.969,5.438
18149.868,0.006,0.286,1.959,5.428
18149.821,0.001,0.28,1.954,5.423
18199.885,0.003,0.266,1.94,5.41
18249.775,0.001,0.25,1.924,5.395
18249.831,0.003,0.252,1.926,5.397
18299.744,0.003,0.237,1.911,5.383
18299.732,0.003,0.237,1.912,5.383
18349.833,0.004,0.221,1.897,5.369
18399.753,0.006,0.209,1.885,5.358
18399.751,0.005,0.208,1.884,5.357
18449.789,0.002,0.19,1.866,5.34
18487.285,6.165,0.076,1.753,5.224
18499.783,0.003,0.176,1.853,5.327
18549.883,0.004,0.163,1.84,5.316
18549.798,0.004,0.163,1.84,5.315
18599.782,0.004,0.148,1.825,5.302
18649.688,0.001,0.131,1.809,5.286
18649.714,0.001,0.131,1.809,5.287
18699.806,0.005,0.123,1.801,5.277
18699.784,0.003,0.12,1.799,5.275
18749.743,0.001,0.104,1.783,5.26
18799.816,6.282,0.087,1.767,5.244
18799.836,0.002,0.09,1.77,5.247
18849.781,0.002,0.076,1.756,5.234
18849.732,0.004,0.077,1.758,5.236
18899.878,6.282,0.059,1.74,5.219
18949.802,6.282,0.044,1.726,5.206
18949.814,6.283,0.045,1.726,5.206
18999.709,6.282,0.03,1.712,5.192
18999.695,6.283,0.031,1.713,5.193
19049.756,0.001,0.018,1.7,5.182
19099.789,6.282,0.003,1.686,5.168
19099.761,6.28,0.002,1.684,5.166
19149.854,6.281,6.272,1.672,5.155
19199.74,6.281,6.259,1.659,5.143
19199.721,0.002,6.263,1.663,5.147
19249.873,0.002,6.251,1.651,5.136
19249.797,6.28,6.246,1.646,5.131
19299.762,6.28,6.233,1.634,5.119
19349.907,6.28,6.219,1.621,5.105
19349.843,0.001,6.223,1.625,5.109
19399.778,6.28,6.206,1.608,5.093
19399.833,6.282,6.208,1.611,5.096
19449.704,0.001,6.197,1.6,5.086
19499.855,0.001,6.185,1.588,5.075
19499.807,0.001,6.184,1.588,5.074
19549.736,6.281,6.168,1.572,5.059
19549.718,6.282,6.17,1.573,5.061
19599.849,6.282,6.157,1.562,5.049
19649.809,6.278,6.142,1.546,5.035
19649.793,6.28,6.144,1.548,5.037
19699.873,6.283,6.134,1.54,5.029
19749.826,6.282,6.122,1.528,5.018
19749.8,6.282,6.122,1.527,5.017
19799.721,6.282,6.111,1.517,5.008
19799.725,6.282,6.11,1.516,5.007
19849.859,6.278,6.095,1.502,4.993
19899.755,6.279,6.085,1.492,4.984
19899.758,6.279,6.085,1.492,4.984
19949.749,6.281,6.077,1.484,4.977
19949.757,0.002,6.08,1.487,4.98
19999.709,6.282,6.063,1.472,4.964
